Year,State,wsc_total,wsc_reports,wsc_reports_with_findings,wsc_reports_ontime,wsc_reports_ext_timelines,wsc_pending,wsc_pending_due_proc,wsc_withdrawn,med_total,med_held,med_from_due_proc,med_agreed_from_due_proc,med_not_from_due_proc,med_agreed_not_from_due_proc,med_pending,med_withdrawn,dpc_total,dpc_resolutions,dpc_resolutions_settlements,dpc_adjudicated,dpc_decisions_ontime,dpc_decisions_ext_timeline,dpc_pending,dpc_withdrawn,edpc_total,edpc_resolutions,edpc_resolutions_settlements,edpc_adjudicated,edpc_placement_changes,edpc_pending,edpc_withdrawn
2012-2013,new york,243,168,145,154,14,1,0,74,319,177,5,5,172,158,28,114,6025,5433,325,753,126,501,1301,3971,27,24,5,7,2,3,17
2012-2013,north carolina,85,45,30,43,1,0,0,40,62,37,10,8,27,23,3,22,47,27,13,0,0,0,9,38,7,6,6,0,0,0,7
2012-2013,north dakota,6,4,4,4,0,0,0,2,3,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,northern marianas,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,ohio,240,96,63,79,10,24,0,120,140,120,50,36,70,58,3,17,123,57,21,5,1,4,2,116,24,12,9,1,0,0,23
2012-2013,oklahoma,17,15,7,15,0,0,0,2,8,8,0,0,8,7,0,0,16,8,5,1,0,1,0,15,1,1,1,1,0,0,0
2012-2013,oregon,36,21,6,13,8,0,0,15,60,35,7,6,28,23,16,9,15,0,0,0,0,0,4,11,1,0,0,0,0,0,1
2012-2013,pennsylvania,254,125,77,124,1,8,8,121,361,162,9,9,153,117,45,154,739,420,115,53,12,41,148,538,18,12,4,5,2,0,13
2012-2013,puerto rico,82,70,39,68,2,0,0,12,878,679,643,495,36,36,1,198,2225,1315,367,1180,791,176,77,968,1,1,0,1,0,0,0
2012-2013,republic of palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
